species,assembly_accession
Abiotrophia,GCF_013267415.1
Abyssicoccus,GCF_001989575.1
Abyssogena,GCF_016592595.1
Acaryochloris,GCF_000018105.1
Acetilactobacillus,GCF_004359375.1
Acetivibrio,GCF_000237085.1
Acetoanaerobium,GCF_000196455.1
Acetobacter,GCF_001499615.1
Acetobacterium,GCF_000247605.1
Acetohalobium,GCF_000144695.1
Acetomicrobium,GCF_000266925.1
Acholeplasma,GCF_900660755.1
Achromobacter,GCF_016728825.1
Acidaminococcus,GCF_000025305.1
Acidibrevibacterium,GCF_003352165.1
Acididesulfobacillus,GCF_902729405.1
Acidiferrobacter,GCF_001705075.2
Acidilutibacter,GCF_004103715.1
Acidimicrobium,GCF_000023265.1
Acidiphilium,GCF_000202835.1
Acidipropionibacterium,GCF_001441165.1
Acidisarcina,GCF_003330725.1
Acidithiobacillus,GCF_900174455.1
Acidobacterium,GCF_000022565.1
Acidothermus,GCF_000015025.1
Acidovorax,GCF_028596105.1
Acinetobacter,GCF_016576965.1
Actinoalloteichus,GCF_001941625.1
Actinobacillus,GCF_000739435.1
Actinocatenispora,GCF_016865425.1
Actinomadura,GCF_013211575.1
Actinomyces,GCF_004102025.1
Actinoplanes,GCF_900104725.1
Actinopolymorpha,GCF_900104745.1
Actinopolyspora,GCF_002263515.1
Actinotignum,GCF_000724605.1
Acutalibacter,GCF_002201475.1
Adhaeretor,GCF_007741515.1
Adlercreutzia,GCF_011405655.1
Advenella,GCF_000521505.1
Aeoliella,GCF_007748035.1
Aequoribacter,GCF_009910365.1
Aequorivita,GCF_000265385.1
Aerococcus,GCF_001543285.1
Aeromicrobium,GCF_003065605.1
Aeromonas,GCF_028355655.1
Aerosticca,GCF_003967035.1
Afipia,GCF_000218565.1
Agarilytica,GCF_002157225.2
Agarivorans,GCF_019670105.1
Aggregatibacter,GCF_900636915.1
Aggregatimonas,GCF_005943945.1
Agrobacterium,GCF_018138105.1
Agrococcus,GCF_900099705.1
Agromyces,GCF_001660485.1
Ahniella,GCF_003015185.1
Alcaligenes,GCF_000967305.2
Alcanivorax,GCF_000009365.1
Algoriphagus,GCF_000166275.1
Aliamphritea,GCF_024347215.1
Aliarcobacter,GCF_013201705.1
Alicycliphilus,GCF_000179015.2
Alicyclobacillus,GCF_026651875.1
Alienimonas,GCF_007743815.1
Aliiroseovarius,GCF_025137635.1
Aliivibrio,GCF_000196495.1
Alistipes,GCF_006542645.1
Alkalicella,GCF_014467015.1
Alkalilimnicola,GCF_000014785.1
Alkaliphilus,GCF_000016985.1
Alkalitalea,GCF_002201795.1
Alloalcanivorax,GCF_000300005.1
Allobacillus,GCF_028743495.1
Allochromatium,GCF_000025485.1
Allocoleopsis,GCF_000317515.1
Allofrancisella,GCF_012222965.1
Allokutzneria,GCF_900103775.1
Allomeiothermus,GCF_000092125.1
Allorhizobium,GCF_000016285.1
Allosaccharopolyspora,GCF_009664835.1
Allosphingosinicella,GCF_900177405.1
Alteracholeplasma,GCF_000968055.1
Altererythrobacter,GCF_001281485.1
Alteromonas,GCF_000213655.1
Alysiella,GCF_020162295.1
Amedibacterium,GCF_010537335.1
Aminipila,GCF_010120715.1
Aminobacterium,GCF_000025885.1
Aminomonas,GCF_000165795.1
Ammonifex,GCF_000024605.1
Amphibacillus,GCF_000307165.1
Amphritea,GCF_024347255.1
Amycolatopsis,GCF_000454025.1
Amylolactobacillus,GCF_001936335.1
Anabaena,GCF_000317695.1
Anabaenopsis,GCF_002367975.1
Anaerobacillus,GCF_001866075.3
Anaerobutyricum,GCF_018140635.1
Anaerococcus,GCF_900128415.1
Anaerocolumna,GCF_014218355.1
Anaerohalosphaera,GCF_002007645.1
Anaerolinea,GCF_000199675.1
Anaerostipes,GCF_005280655.1
Anaerotignum,GCF_001561955.1
Anaerotruncus,GCF_023008305.1
Anaplasma,GCF_000439775.1
Anatilimnocola,GCF_007747655.1
Ancylobacter,GCF_022836935.1
Aneurinibacillus,GCF_002355375.1
Anoxybacillus,GCF_020923495.1
Anoxybacter,GCF_003991135.1
Antarcticibacterium,GCF_006159205.1
Apibacter,GCF_004014855.1
Aquabacterium,GCF_003100395.1
Aquella,GCF_002892535.1
Aquibium,GCF_014495845.1
Aquicella,GCF_902459485.1
Aquifex,GCF_000008625.1
Aquiflexum,GCF_900176595.1
Aquiluna,GCF_013283855.1
Aquincola,GCF_023573145.1
Aquirhabdus,GCF_003351745.1
Aquirufa,GCF_003143535.1
Aquisediminimonas,GCF_019443285.1
Aquisphaera,GCF_008087625.1
Aquitalea,GCF_009856625.1
Arabiibacter,GCF_902386925.1
Arachidicoccus,GCF_007971385.1
Arachnia,GCF_900637725.1
Arcanobacterium,GCF_900105865.1
Archangium,GCF_001027285.1
Arcobacter,GCF_013201665.1
Arcticibacterium,GCF_003258705.1
Arenibacter,GCF_002234495.1
Arenimonas,GCF_007993735.1
Aristophania,GCF_022459015.1
Aromatoleum,GCF_017894385.1
Arsenophonus,GCF_004768525.1
