"","species","assembly_accession","Goodman_r","Goodman_pvalue","Cambray_r","Cambray_pvalue"
"1","Abiotrophia","GCF_013267415.1",0.5628,0,0.5713,0
"2","Abyssicoccus","GCF_001989575.1",0.5088,0,0.3173,0.0143
"3","Abyssogena","GCF_016592595.1",0.2684,0.0399,0.1561,0.2377
"4","Acaryochloris","GCF_000018105.1",0.4236,8e-04,0.502,1e-04
"5","Acetilactobacillus","GCF_004359375.1",0.6001,0,0.3711,0.0038
"6","Acetivibrio","GCF_000237085.1",0.5316,0,0.4297,7e-04
"7","Acetoanaerobium","GCF_000196455.1",0.1145,0.3877,0.1875,0.1551
"8","Acetobacter","GCF_001499615.1",0.5269,0,0.4087,0.0013
"9","Acetobacterium","GCF_000247605.1",0.6932,0,0.4745,1e-04
"10","Acetohalobium","GCF_000144695.1",0.4246,8e-04,0.1293,0.3291
"11","Acetomicrobium","GCF_000266925.1",0.3726,0.0037,0.4897,1e-04
"12","Acholeplasma","GCF_900660755.1",0.2021,0.1247,-0.0015,0.9912
"13","Achromobacter","GCF_016728825.1",0.6467,0,0.5239,0
"14","Acidaminococcus","GCF_000025305.1",0.6292,0,0.6081,0
"15","Acidibrevibacterium","GCF_003352165.1",0.6484,0,0.4272,7e-04
"16","Acididesulfobacillus","GCF_902729405.1",0.6456,0,0.5393,0
"17","Acidiferrobacter","GCF_001705075.2",0.6949,0,0.5854,0
"18","Acidilutibacter","GCF_004103715.1",0.4769,1e-04,0.4708,2e-04
"19","Acidimicrobium","GCF_000023265.1",0.6338,0,0.4508,3e-04
"20","Acidiphilium","GCF_000202835.1",0.6777,0,0.5674,0
"21","Acidipropionibacterium","GCF_001441165.1",0.5492,0,0.5877,0
"22","Acidisarcina","GCF_003330725.1",0.6952,0,0.5646,0
"23","Acidithiobacillus","GCF_900174455.1",0.684,0,0.605,0
"24","Acidobacterium","GCF_000022565.1",0.6872,0,0.5853,0
"25","Acidothermus","GCF_000015025.1",0.5692,0,0.2441,0.0624
"26","Acidovorax","GCF_028596105.1",0.5234,0,0.5461,0
"27","Acinetobacter","GCF_016576965.1",0.4629,2e-04,0.3492,0.0067
"28","Actinoalloteichus","GCF_001941625.1",0.6072,0,0.5093,0
"29","Actinobacillus","GCF_000739435.1",0.4787,1e-04,0.3289,0.011
"30","Actinocatenispora","GCF_016865425.1",0.5752,0,0.4712,2e-04
"31","Actinomadura","GCF_013211575.1",0.5668,0,0.445,4e-04
"32","Actinomyces","GCF_004102025.1",0.5654,0,0.5347,0
"33","Actinoplanes","GCF_900104725.1",0.6233,0,0.4173,0.001
"34","Actinopolymorpha","GCF_900104745.1",0.5692,0,0.4483,4e-04
"35","Actinopolyspora","GCF_002263515.1",0.5201,0,0.5212,0
"36","Actinotignum","GCF_000724605.1",0.6752,0,0.4869,1e-04
"37","Acutalibacter","GCF_002201475.1",0.59,0,0.683,0
"38","Adhaeretor","GCF_007741515.1",0.5312,0,0.4907,1e-04
"39","Adlercreutzia","GCF_011405655.1",0.6557,0,0.5774,0
"40","Advenella","GCF_000521505.1",0.6476,0,0.603,0
"41","Aeoliella","GCF_007748035.1",0.6442,0,0.5981,0
"42","Aequoribacter","GCF_009910365.1",0.629,0,0.6102,0
"43","Aequorivita","GCF_000265385.1",0.3548,0.0058,0.1565,0.2365
"44","Aerococcus","GCF_001543285.1",0.4319,6e-04,0.3395,0.0085
"45","Aeromicrobium","GCF_003065605.1",0.546,0,0.5078,0
"46","Aeromonas","GCF_028355655.1",0.6575,0,0.6725,0
"47","Aerosticca","GCF_003967035.1",0.5787,0,0.5489,0
"48","Afipia","GCF_000218565.1",0.705,0,0.5521,0
"49","Agarilytica","GCF_002157225.2",0.5057,0,0.5163,0
"50","Agarivorans","GCF_019670105.1",0.4596,3e-04,0.4411,5e-04
"51","Aggregatibacter","GCF_900636915.1",0.6096,0,0.4818,1e-04
"52","Aggregatimonas","GCF_005943945.1",0.5991,0,0.5808,0
"53","Agrobacterium","GCF_018138105.1",0.6781,0,0.5596,0
"54","Agrococcus","GCF_900099705.1",0.3811,0.0029,0.3906,0.0022
"55","Agromyces","GCF_001660485.1",0.4678,2e-04,0.4091,0.0013
"56","Ahniella","GCF_003015185.1",0.6464,0,0.4846,1e-04
"57","Alcaligenes","GCF_000967305.2",0.6237,0,0.5732,0
"58","Alcanivorax","GCF_000009365.1",0.5935,0,0.6192,0
"59","Algoriphagus","GCF_000166275.1",0.2843,0.0291,0.3846,0.0026
"60","Aliamphritea","GCF_024347215.1",0.6353,0,0.4172,0.001
"61","Aliarcobacter","GCF_013201705.1",-0.0329,0.8046,-0.0917,0.4896
"62","Alicycliphilus","GCF_000179015.2",0.541,0,0.5611,0
"63","Alicyclobacillus","GCF_026651875.1",0.5881,0,0.4329,6e-04
"64","Alienimonas","GCF_007743815.1",0.3694,0.004,0.3458,0.0073
"65","Aliiroseovarius","GCF_025137635.1",0.6566,0,0.5302,0
"66","Aliivibrio","GCF_000196495.1",0.373,0.0036,0.2433,0.0633
"67","Alistipes","GCF_006542645.1",0.7159,0,0.6324,0
"68","Alkalicella","GCF_014467015.1",0.2328,0.076,0.4096,0.0013
"69","Alkalilimnicola","GCF_000014785.1",0.7038,0,0.6582,0
"70","Alkaliphilus","GCF_000016985.1",0.4685,2e-04,0.6183,0
"71","Alkalitalea","GCF_002201795.1",0.691,0,0.5139,0
"72","Alloalcanivorax","GCF_000300005.1",0.6698,0,0.5809,0
"73","Allobacillus","GCF_028743495.1",0.6049,0,0.3622,0.0048
"74","Allochromatium","GCF_000025485.1",0.6293,0,0.5717,0
"75","Allocoleopsis","GCF_000317515.1",0.4732,2e-04,0.3809,0.0029
"76","Allofrancisella","GCF_012222965.1",-0.0211,0.8741,0.1542,0.2435
"77","Allokutzneria","GCF_900103775.1",0.5629,0,0.4712,2e-04
"78","Allomeiothermus","GCF_000092125.1",0.5392,0,0.6163,0
"79","Allorhizobium","GCF_000016285.1",0.6858,0,0.5243,0
"80","Allosaccharopolyspora","GCF_009664835.1",0.6085,0,0.3661,0.0043
"81","Allosphingosinicella","GCF_900177405.1",0.652,0,0.437,5e-04
"82","Alteracholeplasma","GCF_000968055.1",0.1504,0.2556,0.054,0.6848
"83","Altererythrobacter","GCF_001281485.1",0.6722,0,0.5156,0
"84","Alteromonas","GCF_000213655.1",0.3914,0.0022,0.4472,4e-04
"85","Alysiella","GCF_020162295.1",0.5515,0,0.4796,1e-04
"86","Amedibacterium","GCF_010537335.1",0.5783,0,0.4323,6e-04
"87","Aminipila","GCF_010120715.1",0.5163,0,0.5053,0
"88","Aminobacterium","GCF_000025885.1",0.4786,1e-04,0.4431,4e-04
"89","Aminomonas","GCF_000165795.1",0.5526,0,0.5708,0
"90","Ammonifex","GCF_000024605.1",0.4694,2e-04,0.4763,1e-04
"91","Amphibacillus","GCF_000307165.1",0.3694,0.004,0.1037,0.4345
"92","Amphritea","GCF_024347255.1",0.7538,0,0.6286,0
"93","Amycolatopsis","GCF_000454025.1",0.6325,0,0.4398,5e-04
"94","Amylolactobacillus","GCF_001936335.1",0.6105,0,0.6077,0
"95","Anabaena","GCF_000317695.1",0.0139,0.917,-0.0189,0.8872
"96","Anabaenopsis","GCF_002367975.1",0.2424,0.0644,-0.0186,0.8886
"97","Anaerobacillus","GCF_001866075.3",0.2428,0.0639,0.1219,0.3579
"98","Anaerobutyricum","GCF_018140635.1",0.6416,0,0.4843,1e-04
"99","Anaerococcus","GCF_900128415.1",0.3442,0.0076,0.411,0.0012
"100","Anaerocolumna","GCF_014218355.1",0.5932,0,0.5429,0
"101","Anaerohalosphaera","GCF_002007645.1",0.6742,0,0.6143,0
"102","Anaerolinea","GCF_000199675.1",0.6972,0,0.5955,0
"103","Anaerostipes","GCF_005280655.1",0.6345,0,0.6242,0
"104","Anaerotignum","GCF_001561955.1",0.4408,5e-04,0.6334,0
"105","Anaerotruncus","GCF_023008305.1",0.7183,0,0.5656,0
"106","Anaplasma","GCF_000439775.1",0.1249,0.3458,0.1042,0.4324
"107","Anatilimnocola","GCF_007747655.1",0.54,0,0.4324,6e-04
"108","Ancylobacter","GCF_022836935.1",0.6357,0,0.5262,0
"109","Aneurinibacillus","GCF_002355375.1",0.6702,0,0.3784,0.0031
"110","Anoxybacillus","GCF_020923495.1",0.6845,0,0.5254,0
"111","Anoxybacter","GCF_003991135.1",0.4299,7e-04,0.1556,0.2394
"112","Antarcticibacterium","GCF_006159205.1",0.4918,1e-04,0.6284,0
"113","Apibacter","GCF_004014855.1",0.5188,0,0.4117,0.0012
"114","Aquabacterium","GCF_003100395.1",0.5104,0,0.5145,0
"115","Aquella","GCF_002892535.1",0.5057,0,0.3538,0.006
"116","Aquibium","GCF_014495845.1",0.6806,0,0.5364,0
"117","Aquicella","GCF_902459485.1",0.6626,0,0.5869,0
"118","Aquifex","GCF_000008625.1",0.0906,0.4949,0.0622,0.6396
"119","Aquiflexum","GCF_900176595.1",0.401,0.0016,0.4487,4e-04
"120","Aquiluna","GCF_013283855.1",0.4625,2e-04,0.5302,0
"121","Aquincola","GCF_023573145.1",0.5775,0,0.5087,0
"122","Aquirhabdus","GCF_003351745.1",0.6799,0,0.5123,0
"123","Aquirufa","GCF_003143535.1",0.2009,0.127,0.1623,0.2193
"124","Aquisediminimonas","GCF_019443285.1",0.5063,0,0.4366,5e-04
"125","Aquisphaera","GCF_008087625.1",0.5529,0,0.5458,0
"126","Aquitalea","GCF_009856625.1",0.5605,0,0.5712,0
"127","Arabiibacter","GCF_902386925.1",0.6417,0,0.5709,0
"128","Arachidicoccus","GCF_007971385.1",0.6178,0,0.4721,2e-04
"129","Arachnia","GCF_900637725.1",0.5697,0,0.46,2e-04
"130","Arcanobacterium","GCF_900105865.1",0.6078,0,0.4129,0.0012
"131","Archangium","GCF_001027285.1",0.5849,0,0.5783,0
"132","Arcobacter","GCF_013201665.1",-0.2342,0.0742,-0.2157,0.1009
"133","Arcticibacterium","GCF_003258705.1",0.2138,0.104,0.2802,0.0316
"134","Arenibacter","GCF_002234495.1",0.5032,0,0.6831,0
"135","Arenimonas","GCF_007993735.1",0.6503,0,0.4626,2e-04
"136","Aristophania","GCF_022459015.1",0.0151,0.9097,-0.1758,0.183
"137","Aromatoleum","GCF_017894385.1",0.6796,0,0.5675,0
"138","Arsenophonus","GCF_004768525.1",0.2328,0.0761,0.0802,0.546
"139","Arthrobacter","GCF_002849715.1",0.6082,0,0.5297,0
"140","Asaia","GCF_001547995.1",0.5262,0,0.4931,1e-04
"141","Asticcacaulis","GCF_000175215.2",0.5652,0,0.4073,0.0014
"142","Athalassotoga","GCF_009936215.1",0.1947,0.1395,0.153,0.2474
"143","Atlantibacter","GCF_024224615.1",0.7453,0,0.5482,0
"144","Aurantiacibacter","GCF_001077815.2",0.6043,0,0.4226,9e-04
"145","Aurantimicrobium","GCF_003194085.1",0.5859,0,0.5392,0
"146","Auraticoccus","GCF_900101785.1",0.4708,2e-04,0.5026,0
"147","Aureibaculum","GCF_006065315.1",0.2896,0.0261,0.2222,0.0908
"148","Aureimonas","GCF_017815515.1",0.6519,0,0.5938,0
"149","Aureliella","GCF_007752135.1",0.6261,0,0.5493,0
"150","Avibacterium","GCF_011765605.1",0.6068,0,0.6044,0
"151","Azoarcus","GCF_001682385.1",0.692,0,0.5626,0
"152","Azorhizobium","GCF_000010525.1",0.6265,0,0.55,0
"153","Azospira","GCF_016858125.1",0.6007,0,0.5022,1e-04
"154","Azospirillum","GCF_003119195.2",0.664,0,0.5366,0
"155","Azotobacter","GCF_000021045.1",0.6155,0,0.596,0
"156","Bacillus","GCF_000161615.1",0.3006,0.0207,0.0179,0.893
"157","Bacteriovorax","GCF_006874605.1",0.5121,0,0.2725,0.0368
"158","Bacteroides","GCF_018292125.1",0.6595,0,0.5516,0
"159","Baekduia","GCF_007970665.1",0.5555,0,0.4343,6e-04
"160","Barnesiella","GCF_000512915.1",0.6608,0,0.6409,0
"161","Basfia","GCF_011455875.1",0.7333,0,0.5545,0
"162","Basilea","GCF_000743945.1",0.6819,0,0.5094,0
"163","Bathymodiolus","GCF_003711265.1",0.4825,1e-04,0.4885,1e-04
"164","Bdellovibrio","GCF_000691605.1",0.7871,0,0.483,1e-04
"165","Beggiatoa","GCF_001305575.3",0.3439,0.0077,0.2192,0.0952
"166","Beijerinckia","GCF_000019845.1",0.6,0,0.3954,0.0019
"167","Belliella","GCF_000265405.1",0.3059,0.0185,0.2799,0.0318
