"acc","GC_mean","GC3_mean"
"Abiotrophia","47.6244469026549","49.5937555309735"
"Abyssicoccus","34.5017688679245","26.0744103773585"
"Abyssogena","37.0540974825924","30.5527959292983"
"Acaryochloris","47.8424428332404","46.6179726715003"
"Acetilactobacillus","40.508152173913","40.38875"
"Acetivibrio","36.6860286591607","32.3683060388946"
"Acetoanaerobium","33.7519222986645","23.7513759611493"
"Acetobacter","56.6538911644236","59.6553247513166"
"Acetobacterium","40.015514809591","37.0264400564175"
"Acetohalobium","37.0146666666667","28.43212"
"Acetomicrobium","48.643216080402","53.8557889447236"
"Acholeplasma","30.9882439382807","19.950242468773"
"Achromobacter","67.9933849628913","87.4627944498225"
"Acidaminococcus","56.6835260115607","70.0982707129094"
"Acidibrevibacterium","66.0605555555556","78.482075"
"Acididesulfobacillus","53.9563945759107","61.3152884871045"
"Acidiferrobacter","63.9351535836177","77.0196552901024"
"Acidilutibacter","34.2294797687861","28.4764277456647"
"Acidimicrobium","68.4235412474849","82.2979979879276"
"Acidiphilium","67.5806709265176","83.5770793397231"
"Acidipropionibacterium","69.1347717323327","89.3594308943089"
"Acidisarcina","57.5324119776242","65.880444225074"
"Acidithiobacillus","56.7491050119332","63.1411545346062"
"Acidobacterium","61.3763277693475","74.437062215478"
"Acidothermus","66.903483992467","79.3325706214689"
"Acidovorax","63.8199040767386","78.4886067146283"
"Acinetobacter","38.801559177888","29.7129175525632"
"Actinoalloteichus","69.9534563006378","87.1175142216859"
"Actinobacillus","40.8553459119497","34.0162398921833"
"Actinocatenispora","72.9198135198135","92.7373815073815"
"Actinomadura","73.4305073356479","95.1804076604323"
"Actinomyces","67.0666044195456","81.9819981325864"
"Actinoplanes","69.7367280606717","87.9707280606717"
"Actinopolymorpha","70.8591650241892","89.4222845368214"
"Actinopolyspora","68.9186613475177","86.3753789893617"
"Actinotignum","62.3757925072046","72.3408357348703"
"Acutalibacter","55.5821495577593","68.9294317877245"
"Adhaeretor","55.7502702702703","61.617507027027"
"Adlercreutzia","63.8748414376321","82.4565243128964"
"Advenella","55.073505081541","60.3885133538171"
"Aeoliella","58.6990749852391","69.6002401102145"
"Aequoribacter","51.9941881583727","55.3284235379586"
"Aequorivita","36.6035920461835","30.4679025016036"
"Aerococcus","40.1194429566149","34.6700321371184"
"Aeromicrobium","70.6827896512936","93.0276856017998"
"Aeromonas","59.6381759853346","73.2907034830431"
"Aerosticca","68.6799227799228","86.6624555984556"
"Afipia","62.960691385559","77.4710064120435"
"Agarilytica","41.8501138154439","36.081442829627"
"Agarivorans","44.8457446808511","41.5136025145068"
"Aggregatibacter","43.0339388145315","41.0557361376673"
"Aggregatimonas","43.6878567721847","46.7629242345615"
"Agrobacterium","60.7451433857539","73.8999460376195"
"Agrococcus","72.9603248984692","95.180849734458"
"Agromyces","70.5789203084833","91.1222519280206"
"Ahniella","60.687955801105","71.4867513812155"
"Alcaligenes","57.6949061662198","66.5231930294906"
"Alcanivorax","55.1995622035753","61.2629733673842"
"Algoriphagus","39.1426754832146","35.0357527975585"
"Aliamphritea","47.8163535911602","45.9031027624309"
"Aliarcobacter","27.1978632478632","12.7589743589744"
"Alicycliphilus","68.6485225505443","89.0006642968229"
"Alicyclobacillus","51.8884716485167","57.322153586181"
"Alienimonas","70.6106566954896","89.4402547324141"
"Aliiroseovarius","59.6172680412371","69.3940592783505"
