file_name,organism,url,database,path,refseq_category,assembly_accession,bioproject,biosample,taxid,infraspecific_name,version_status,release_type,genome_rep,seq_rel_date,submitter
GCF_000006945.2_genomic_refseq.fna.gz,GCF_000006945.2,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/945/GCF_000006945.2_ASM694v2/GCF_000006945.2_ASM694v2_cds_from_genomic.fna.gz,refseq,/Users/sofiaradrizzani/Documents/Scripts/Fivecodons/Data/all_genomes/bacteria_CDS,reference genome,GCF_000006945.2,PRJNA57799,SAMN02604315,99287,strain=LT2,latest,Major,Full,13/01/16,Washington University Genome Sequencing Center
GCF_000007085.1_genomic_refseq.fna.gz,GCF_000007085.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/085/GCF_000007085.1_ASM708v1/GCF_000007085.1_ASM708v1_cds_from_genomic.fna.gz,refseq,/Users/sofiaradrizzani/Documents/Scripts/Fivecodons/Data/all_genomes/bacteria_CDS,representative genome,GCF_000007085.1,PRJNA224116,SAMN02603009,273068,strain=MB4,latest,Major,Full,14/05/02,Beijing Center.HGP
GCF_000007765.2_genomic_refseq.fna.gz,GCF_000007765.2,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/765/GCF_000007765.2_ASM776v2/GCF_000007765.2_ASM776v2_cds_from_genomic.fna.gz,refseq,/Users/sofiaradrizzani/Documents/Scripts/Fivecodons/Data/all_genomes/bacteria_CDS,reference genome,GCF_000007765.2,PRJNA57631,SAMN02603970,227377,strain=RSA 493,latest,Major,Full,10/11/16,TIGR
GCF_000008465.1_genomic_refseq.fna.gz,GCF_000008465.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/465/GCF_000008465.1_ASM846v1/GCF_000008465.1_ASM846v1_cds_from_genomic.fna.gz,refseq,/Users/sofiaradrizzani/Documents/Scripts/Fivecodons/Data/all_genomes/bacteria_CDS,representative genome,GCF_000008465.1,PRJNA224116,SAMN02604184,283942,strain=L2TR,latest,Major,Full,02/12/04,University of Hawaii at Manoa
GCF_000008625.1_genomic_refseq.fna.gz,GCF_000008625.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/625/GCF_000008625.1_ASM862v1/GCF_000008625.1_ASM862v1_cds_from_genomic.fna.gz,refseq,/Users/sofiaradrizzani/Documents/Scripts/Fivecodons/Data/all_genomes/bacteria_CDS,representative genome,GCF_000008625.1,PRJNA224116,SAMN02603207,224324,strain=VF5,latest,Major,Full,22/12/99,DIVERSA
GCF_000008865.2_genomic_refseq.fna.gz,GCF_000008865.2,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/865/GCF_000008865.2_ASM886v2/GCF_000008865.2_ASM886v2_cds_from_genomic.fna.gz,refseq,/Users/sofiaradrizzani/Documents/Scripts/Fivecodons/Data/all_genomes/bacteria_CDS,reference genome,GCF_000008865.2,PRJNA57781,SAMN01911278,386585,strain=Sakai substr. RIMD 0509952,latest,Major,Full,08/06/18,GIRC
GCF_000009365.1_genomic_refseq.fna.gz,GCF_000009365.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/365/GCF_000009365.1_ASM936v1/GCF_000009365.1_ASM936v1_cds_from_genomic.fna.gz,refseq,/Users/sofiaradrizzani/Documents/Scripts/Fivecodons/Data/all_genomes/bacteria_CDS,representative genome,GCF_000009365.1,PRJNA224116,SAMEA3138202,393595,strain=SK2,latest,Major,Full,24/07/06,German Research Centre for Biotechnology
GCF_000009905.1_genomic_refseq.fna.gz,GCF_000009905.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/905/GCF_000009905.1_ASM990v1/GCF_000009905.1_ASM990v1_cds_from_genomic.fna.gz,refseq,/Users/sofiaradrizzani/Documents/Scripts/Fivecodons/Data/all_genomes/bacteria_CDS,representative genome,GCF_000009905.1,PRJNA224116,SAMD00061067,292459,strain=IAM14863,latest,Major,Full,02/09/04,"Kitasato Institute for Life Sciences, Japan"
GCF_000009985.1_genomic_refseq.fna.gz,GCF_000009985.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/985/GCF_000009985.1_ASM998v1/GCF_000009985.1_ASM998v1_cds_from_genomic.fna.gz,refseq,/Users/sofiaradrizzani/Documents/Scripts/Fivecodons/Data/all_genomes/bacteria_CDS,representative genome,GCF_000009985.1,PRJNA224116,SAMD00061077,342108,strain=AMB-1,latest,Major,Full,01/12/05,"Tokyo University of Agriculture and Technology, Japan"
GCF_000010205.1_genomic_refseq.fna.gz,GCF_000010205.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/205/GCF_000010205.1_ASM1020v1/GCF_000010205.1_ASM1020v1_cds_from_genomic.fna.gz,refseq,/Users/sofiaradrizzani/Documents/Scripts/Fivecodons/Data/all_genomes/bacteria_CDS,representative genome,GCF_000010205.1,PRJNA224116,SAMD00060919,334380,strain=Ikeda,latest,Major,Full,29/05/08,Kitasato Institute for Life Sciences
