run,chi
G_chi,158539.52510897856
0,59875.623554756
1,60997.95101223738
2,59343.78525995742
3,59286.94348714534
4,59552.3058434543
5,60502.35657549712
6,61321.29247382552
7,60220.65786983901
8,59353.52629478506
9,59248.84050685513
10,59487.51716015011
11,59659.89383696718
12,58703.32685857453
13,60792.94109743414
14,59113.31476066612
15,58872.768073078856
16,59721.41556445252
17,59216.1970726496
18,59396.198320153824
19,58495.10628802148
20,59352.78320109221
21,58480.83185887987
22,59480.599272360356
23,59936.92655135507
24,59117.229195640546
25,58788.986909821026
26,61583.74762892458
27,58661.77643373273
28,59232.72695028676
29,59193.08493734926
30,57907.37525315717
31,58635.56110993592
32,59316.891396520456
33,60434.717292803085
34,61049.75150797405
35,59962.26175482853
36,58790.16222965133
37,58613.531777675256
38,60769.54162495177
39,59427.79413208105
40,61152.74574839331
41,60053.174270717034
42,61029.68340368322
43,58932.69853107084
44,60405.56313353129
45,58668.39072714089
46,59567.30373263922
47,59061.41735561962
48,59361.4010798032
49,58543.310799213614
50,60042.91622402683
51,59316.389381869834
52,59991.97790128001
53,59507.71050638239
54,57905.07170717104
55,60746.17030600588
56,60176.79626152525
57,59071.19330234769
58,60302.98561475913
59,59326.16203662726
60,58468.188480353885
61,59311.46297391105
62,60084.599083057714
63,59600.04788719712
64,58952.32306868157
65,59544.10993016661
66,58243.1333325648
67,59336.40729054488
68,59491.00524401129
69,60927.39330918604
70,60228.934896612955
71,58206.735017387466
72,59925.597396413614
73,60494.93955522044
74,59975.803128271364
75,58877.86622024367
76,59140.39302224652
77,58337.60016562735
78,59586.16345955058
79,59694.68756939117
80,58594.60419075382
81,59111.61421367809
82,60007.83230536503
83,59166.202327946536
84,60473.82306771091
85,59027.99856052803
86,59697.695191894454
87,58073.95724094477
88,59337.659853111494
89,58522.398938615035
90,60211.50765781814
91,59912.18981499447
92,58387.63529795781
93,59284.854505797484
94,60762.350964910955
95,60439.40359579529
96,59352.75801946233
97,59842.28700820329
98,58686.78816698573
99,59389.77576729025
100,60041.02167611982
101,59813.03263225128
102,58911.73952556874
103,59162.00710708678
104,58674.38296505598
105,60441.746060332145
106,58927.409198605885
107,59517.97328617042
108,58883.327535248995
109,59249.37704216797
110,59434.15931369491
111,59538.86037829543
112,60491.60836115702
113,59835.07328346511
114,58050.34510701604
115,58907.6245369798
116,60318.24803366268
117,58876.437354231224
118,60755.90440752133
119,60587.04136638575
120,58972.32414256836
121,58448.71104973437
122,59681.295123120246
123,58342.431538118835
124,58548.85076633623
125,59349.057015296356
126,60275.20267472045
127,59693.06714663894
128,59090.56865936967
129,58960.891795647636
130,60735.23949237566
131,59530.241274144144
132,59387.96526386675
133,57805.85911000724
134,58868.514393559766
135,59009.00714058896
136,59565.38065114367
137,59187.61768578711
138,60438.981933066905
139,60195.67235496361
140,59933.556159556305
141,58839.06453907018
142,59644.26108904551
143,59619.92709455487
144,59099.331553529446
145,59755.81693605289
146,58874.92996884728
147,59614.006039959895
148,59180.913384649386
149,59437.5106762027
150,59907.450246575696
151,60192.810646799546
152,59504.89446535484
153,58207.22746795625
154,58823.69535645877
155,57952.4875766782
156,58638.17764486255
157,61088.108786036624
158,58700.65704992153
159,59036.518112145284
160,59947.017618107144
161,60086.674599517806
162,59197.1286217127
163,57974.45403649707
164,59045.22410106109
165,60236.85255086898
166,58696.91043212905
167,60262.692051324186
168,59896.898468509244
169,58696.6852642448
170,59486.12625920485
